ego_pos,-13.3044,-0.636541
obs_pos,0,0
heading,0.633508
wind,0.306693
5,5,-14,-2.42946e-09
6,6,-16,2
7,7,-18,4
8,8,-20,6
9,9,-22,8
10,10,-24,10
11,11,-26,12
12,12,-28,14
13,13,-30,16
14,14,-32,18
15,15,-34,20
16,16,-36,22
17,17,-38,24
18,18,-40,26
19,19,-42,28
20,20,-44,30
20,19,-44,28
20,18,-44,26
20,17,-44,24
20,16,-44,22
20,15,-44,20
20,14,-44,18
20,13,-44,16
20,12,-44,14
20,11,-44,12
20,10,-44,10
20,9,-44,8
21,10,-46,10
22,11,-48,12
23,12,-50,14
24,13,-52,16
25,14,-54,18
26,15,-56,20
27,16,-58,22
28,15,-60,20
####7
ego_pos,-12.5653,-2.42946e-09
obs_pos,0,0
heading,0.806283
wind,0.385234
5,5,-14,-2.42946e-09
6,6,-16,2
7,7,-18,4
8,8,-20,6
9,9,-22,8
10,10,-24,10
11,11,-26,12
12,12,-28,14
13,13,-30,16
14,14,-32,18
15,15,-34,20
16,16,-36,22
17,17,-38,24
18,18,-40,26
19,19,-42,28
20,20,-44,30
20,19,-44,28
20,18,-44,26
20,17,-44,24
20,16,-44,22
20,15,-44,20
20,14,-44,18
20,13,-44,16
20,12,-44,14
20,11,-44,12
20,10,-44,10
20,9,-44,8
21,10,-46,10
22,11,-48,12
23,12,-50,14
24,13,-52,16
25,14,-54,18
26,15,-56,20
27,16,-58,22
28,15,-60,20
####8
ego_pos,-12.5653,-2.42946e-09
obs_pos,0,0
heading,0.816754
wind,0.397271
5,5,-14,-2.42946e-09
6,6,-16,2
7,7,-18,4
8,8,-20,6
9,9,-22,8
10,10,-24,10
11,11,-26,12
12,12,-28,14
13,13,-30,16
14,14,-32,18
15,15,-34,20
16,16,-36,22
17,17,-38,24
18,18,-40,26
19,19,-42,28
20,20,-44,30
20,19,-44,28
20,18,-44,26
20,17,-44,24
20,16,-44,22
